categoria;assunto;enunciado;a;b;c;d;e;correta
Arrais Amador;Geral;Qual é a principal mudança em relação aos documentos de inscrição de embarcações?;A criação de um novo documento específico para embarcações de grande porte.;A unificação dos Títulos de Inscrição de Embarcação (TIE) e Títulos de Inscrição de Embarcação Miúda (TIEM) em um único documento.;A obrigatoriedade de realizar uma inspeção na embarcação antes da inscrição.;A eliminação da necessidade de comprovante de residência para a inscrição.;A exigência de um certificado digital para acessar o sistema de inscrição.;A unificação dos Títulos de Inscrição de Embarcação (TIE) e Títulos de Inscrição de Embarcação Miúda (TIEM) em um único documento.
Arrais Amador;Geral;Qual a importância do QR Code no novo Título de Inscrição de Embarcação (TIE)?;Facilitar a falsificação do documento.;Permitir a identificação do proprietário da embarcação por radiofrequência.;Garantir a segurança e autenticidade do documento.;Reduzir os custos de impressão do documento.;Eliminar a necessidade de portar o documento físico na embarcação.;Garantir a segurança e autenticidade do documento.
Arrais Amador;Geral;Para embarcações com comprimento igual ou maior que 24 metros e AB maior que 100, onde deve ser realizado o registro?;Na Capitania dos Portos local.;No Ministério dos Transportes.;No Tribunal Marítimo (TM).;Na Sociedade Classificadora.;No Serviço Federal de Processamento de Dados (SERPRO).;No Tribunal Marítimo (TM).
Arrais Amador;Geral;Qual documento deve ser preenchido e apresentado na CP/DL/AG para o registro de embarcações de grande porte?;Termo de Entrega e Aceitação.;Boletim de Atualização de Embarcações (BADE).;Certificado de Arqueação.;Licença de Construção.;Rol de Equipamentos de Segurança.;Boletim de Atualização de Embarcações (BADE).
Arrais Amador;Geral;Qual é a validade inicial do Documento Provisório de Propriedade (DPP) emitido pela CP/DL/AG para embarcações de grande porte?;6 meses.;2 anos.;3 meses.;1 ano.;18 meses.;1 ano.
Arrais Amador;Geral;Quais são as exigências para que uma procuração seja válida no processo de registro no Tribunal Marítimo (TM)?;Deve ser registrada no Cartório de Notas.;Precisa conter o reconhecimento de firma do outorgante por autenticidade.;Deve ser assinada pelo outorgante e pelo outorgado na presença de um advogado.;Deve ser registrada na Junta Comercial do Estado.;Deve conter o reconhecimento de firma do outorgante por semelhança ou assinatura eletrônica avançada.;Deve conter o reconhecimento de firma do outorgante por semelhança ou assinatura eletrônica avançada.
Arrais Amador;Geral;Em quais casos o processo de registro de embarcação no TM pode ser prorrogado pela CP/DL/AG?;Quando o proprietário solicita formalmente.;Quando a embarcação muda de porto de permanência.;Quando a embarcação é transferida para outro proprietário;Quando há alteração no contrato social da empresa proprietária.;Quando a PRPM não é entregue dentro do prazo de validade do DPP.;Quando a PRPM não é entregue dentro do prazo de validade do DPP.
Arrais Amador;Geral;Onde devem ser registradas as embarcações com comprimento igual ou maior que 24 metros e AB maior que 100?;Na Capitania dos Portos mais próxima.;No Tribunal Marítimo.;Na Secretaria da Fazenda.;Na Junta Comercial.;Na Marinha do Brasil.;No Tribunal Marítimo.
Arrais Amador;Geral;Qual documento é fundamental para iniciar o processo de registro de uma embarcação de grande porte no Tribunal Marítimo?;Certificado de Registro de Veículo.;Boletim de Atualização de Embarcações (BADE).;Alvará de Funcionamento.;Carteira de Habilitação.;Nota Fiscal de Compra.;Boletim de Atualização de Embarcações (BADE).
Arrais Amador;Geral;Qual a importância da procuração para o processo de registro de uma embarcação de grande porte?;Permitir que qualquer pessoa realize o registro em nome do proprietário.;Garantir a segurança jurídica da transação.;Dispensar a presença do proprietário em todas as etapas do processo.;Agilizar o processo de registro, independentemente da complexidade do caso.;Autorizar o representante legal a realizar todos os atos necessários para o registro.;Autorizar o representante legal a realizar todos os atos necessários para o registro.
Arrais Amador;Geral;Qual documento comprova a quitação de ônus fiscais e encargos sociais para pessoas jurídicas?;Certidão de Nascimento.;Carteira de Trabalho.;Certidões da Receita Federal, INSS e FGTS.;Alvará de Construção.;Contrato Social.;Certidões da Receita Federal, INSS e FGTS.
Arrais Amador;Geral;Qual o prazo de validade inicial do Documento Provisório de Propriedade (DPP)?;30 dias.;60 dias.;90 dias.;1 ano.;2 anos.;1 ano.
Arrais Amador;Geral;Qual é o documento necessário para o registro de uma embarcação com comprimento maior que 12 metros e menor que 24 metros?;Boletim Simplificado de Atualização de Embarcações (BSADE);Boletim de Atualização de Embarcações (BADE);Licença de Construção (LC);Certificado de Arqueação;Prova de Quitação de Ônus Fiscais e Encargos Sociais;Boletim de Atualização de Embarcações (BADE)
Arrais Amador;Geral;Qual é o documento necessário para provar a aquisição do motor em uma embarcação com potência acima de 50 HP?;Certificado de Arqueação;Declaração de Quitação do Casco;Licença de Estação de Navio;Boletim Simplificado de Atualização de Embarcações (BSADE);Prova de aquisição do motor;Prova de aquisição do motor
Arrais Amador;Geral;Qual é a validade máxima que uma embarcação pode trafegar com cópia do BADE junto do protocolo, caso o TIE não possa ser expedido dentro da validade do protocolo da CP/DL/AG?;30 dias;90 dias;120 dias;60 dias;45 dias;60 dias
Arrais Amador;Geral;No caso de uma embarcação com comprimento maior que 12 metros e menor que 24 metros, o Termo de Responsabilidade de Construção/Alteração é exigido em qual situação?;Apenas quando a embarcação for construída no exterior;Para embarcações de esporte e recreio de médio porte, dispensadas de vistorias;Quando a embarcação tiver mais de 50 HP;Quando o proprietário for pessoa jurídica;Em todos os casos;Para embarcações de esporte e recreio de médio porte, dispensadas de vistorias
Arrais Amador;Geral;Qual documento deve ser apresentado em duas vias, devidamente preenchido, para embarcações com comprimento maior que 12 metros e menor que 24 metros?;Boletim Simplificado de Atualização de Embarcações (BSADE);Prova de aquisição do motor;Guia de Recolhimento da União (GRU);Prova de Propriedade da Embarcação;Termo de Responsabilidade para Inscrição;Termo de Responsabilidade para Inscrição
Arrais Amador;Geral;Qual é o procedimento caso a embarcação tenha sido construída pelo interessado?;Apresentar o Termo de Responsabilidade de Construção/Alteração;Solicitar Licença de Estação de Navio;Emitir o Certificado de Arqueação;Preencher o Boletim de Atualização de Embarcações (BADE);Solicitar a prova de aquisição do motor;Apresentar o Termo de Responsabilidade de Construção/Alteração
Arrais Amador;Geral;Em que situação é possível solicitar o cancelamento do registro no Tribunal Marítimo para embarcações com comprimento menor que 24 metros e AB menor que 100?;Quando a embarcação foi registrada no exterior;Quando a embarcação foi transferida de jurisdição;Quando o registro foi feito por força de legislação anterior;Quando a embarcação está sendo utilizada como auxiliar de outra maior;Quando o proprietário deseja retirar o TIE digitalmente;Quando o registro foi feito por força de legislação anterior
Arrais Amador;Geral;Qual documento é obrigatório para embarcações de esporte e recreio de médio porte, dispensadas de vistorias, de acordo com o artigo 3.34?;Certificado de Segurança da Navegação.;Termo de Responsabilidade de construção/alteração.;Licença de Construção.;Relatório de Vistoria Naval.;Seguro RCF-V.;Termo de Responsabilidade de construção/alteração.
Arrais Amador;Geral;Para embarcações com comprimento entre 12 e 24 metros e AB menor ou igual a 100, qual documento comprova a propriedade da embarcação?;Nota fiscal de compra.;Contrato de compra e venda.;Boletim de Atualização de Embarcações (BADE).;Qualquer dos documentos mencionados nas alternativas a e b.;Apenas o Boletim de Atualização de Embarcações (BADE) é válido.;Qualquer dos documentos mencionados nas alternativas a e b.
Arrais Amador;Geral;Qual a principal diferença entre a inscrição de embarcações com comprimento igual ou menor que 12 metros e as demais?;Não há necessidade de apresentar prova de propriedade.;A taxa de inscrição é mais elevada.;É obrigatório o registro no Tribunal Marítimo.;É necessário realizar uma vistoria naval prévia.;A inscrição é simplificada e exige menos documentação.;A inscrição é simplificada e exige menos documentação.
Arrais Amador;Geral;Para embarcações com motores de até 50 HP, qual informação deve ser registrada no campo específico do BADE e do BSADE?;"A expressão &quot;POTMAX 50HP&quot;.";O número de série do motor.;A marca do motor.;O modelo do motor.;A potência exata do motor.;"A expressão &quot;POTMAX 50HP&quot;."
Arrais Amador;Geral;Qual documento é necessário para a inscrição de flutuantes destinados a operar como casas flutuantes?;Alvará de construção.;Autorização especial da Capitania dos Portos.;Certificado de navegabilidade.;Cumprimento da NORMAM-303/DPC.;Licença ambiental.;Cumprimento da NORMAM-303/DPC.
Arrais Amador;Geral;Em relação à retirada do Título de Inscrição de Embarcação (TIE) para pessoa jurídica, qual a afirmação correta?;"A retirada é feita exclusivamente pelo aplicativo &quot;gov.br&quot;.";A retirada é feita presencialmente na Capitania dos Portos.;A retirada pode ser feita presencialmente ou por e-mail, desde que o endereço de e-mail esteja cadastrado no SISAP.;Não há necessidade de retirar o TIE, pois ele é enviado por correio.;A retirada é feita exclusivamente por procurador.;A retirada pode ser feita presencialmente ou por e-mail, desde que o endereço de e-mail esteja cadastrado no SISAP.
Arrais Amador;Geral;Qual documento é dispensável para a inscrição de embarcações miúdas sem propulsão a motor?;Boletim Simplificado de Atualização de Embarcações (BSADE).;Prova de propriedade.;Comprovante de residência.;Seguro Obrigatório de Danos Pessoais (DPEM).;Inscrição pode ser dispensada.;Inscrição pode ser dispensada.
